username,url,bio,followers
tokyofoodie,https://twitter.com/tokyofoodie,東京のグルメ情報を発信中！毎日美味しいものを探しています #東京グルメ #ラーメン #カフェ巡り,25634
osakatravel,https://twitter.com/osakatravel,大阪観光案内所 公式アカウント。関西の魅力をお届けします。#大阪観光 #USJ #道頓堀,42156
ramen_master,https://twitter.com/ramen_master,ラーメン評論家。全国3500店舗食べ歩き。著書「ラーメンハンターの食べ歩き帳」発売中！取材依頼はDMで,78921
miyazaki_fan,https://twitter.com/miyazaki_fan,宮崎県の魅力発信アカウント。地元の特産品や観光情報を紹介します。#宮崎 #地鶏 #パイナップル #観光,12453
shinjuku_info,https://twitter.com/shinjuku_info,新宿区公式非公式。新宿の最新情報、ランチ情報、イベント情報をお届け！#新宿 #ランチ #イベント,36789
cafe_hunter,https://twitter.com/cafe_hunter,カフェ評論家。渋谷・原宿を中心に都内のおしゃれカフェを紹介します。インスタ映えスポット多数掲載中！,59271
ginzalover,https://twitter.com/ginzalover,銀座の高級店、隠れ家バー、レストラン情報を発信。接待にも使える厳選店をご紹介。フォロワー限定クーポンあり,15824
roppongi_night,https://twitter.com/roppongi_night,六本木の夜遊びスポット紹介。バー、クラブ、レストランなど。外国人観光客向け情報も。#六本木 #ナイトライフ,28937
kyoto_guide,https://twitter.com/kyoto_guide,京都観光案内。寺社仏閣から穴場スポットまで。外国人に人気のスポットも多数紹介。#京都 #観光 #寺社仏閣,92145
usj_fan,https://twitter.com/usj_fan,USJの最新情報、待ち時間、隠れ技をお届け！年間パスホルダーが教える攻略法。#USJ #ユニバ #大阪,48623
food_critic_jp,https://twitter.com/food_critic_jp,食評論家。全国の名店を紹介。テレビ出演多数。著書「美食の旅」発売中。取材依頼はDMにて。,103567
travel_japan_guide,https://twitter.com/travel_japan_guide,日本全国の観光地情報。インバウンド向け多言語対応。#Japan #Travel #Tourism,86234
tokyo_nightlife,https://twitter.com/tokyo_nightlife,東京の夜の観光案内。バー、居酒屋、深夜営業店など。#東京 #ナイトライフ #バー,31542
ramen_otaku,https://twitter.com/ramen_otaku,ラーメンオタクによるラーメン情報。毎日どこかのラーメン店で食べ歩き中。独自評価あり。,8976
osaka_gourmet,https://twitter.com/osaka_gourmet,大阪グルメ専門。たこ焼き、お好み焼きから高級店まで。大阪在住15年の食レポーター。,22145